Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
Botswana vs Zimbabwe,1,1,0,0
Brazil vs Canada,2,2,0,0
Brazil vs Cayman Islands,1,1,0,0
Brazil vs Germany,1,1,0,0
Brazil vs Kenya,1,1,0,0
Brazil vs Mexico,2,2,0,0
Brazil vs Nigeria,1,0,1,0
Brazil vs Panama,1,0,1,0
Brazil vs Rwanda,1,1,0,0
Brazil vs Suriname,1,0,1,0
Brazil vs United States of America,2,1,1,0
Bulgaria vs Croatia,1,0,1,0
Bulgaria vs Czech Republic,2,1,1,0
Bulgaria vs Estonia,1,0,1,0
Bulgaria vs Finland,1,1,0,0
Bulgaria vs Gibraltar,4,1,3,0
Bulgaria vs Greece,2,0,1,1
Bulgaria vs Guernsey,2,1,1,0
Bulgaria vs Hungary,1,1,0,0
Bulgaria vs Luxembourg,2,2,0,0
Bulgaria vs Malta,3,1,2,0
Bulgaria vs Romania,7,3,4,0
Bulgaria vs Serbia,11,2,9,0
Bulgaria vs Slovenia,1,0,1,0
Bulgaria vs Switzerland,1,0,1,0
Bulgaria vs Turkey,1,0,1,0
Cambodia vs China,1,1,0,0
Cambodia vs Indonesia,7,1,6,0
Cambodia vs Kuwait,1,0,1,0
Cambodia vs Myanmar,1,0,1,0
Cambodia vs Oman,1,1,0,0
Cambodia vs Qatar,1,1,0,0
Cambodia vs Saudi Arabia,2,0,2,0
Cambodia vs Singapore,5,1,4,0
Cambodia vs Thailand,1,1,0,0
Cambodia vs United Arab Emirates,2,0,2,0
Cameroon vs Eswatini,1,1,0,0
Cameroon vs Gambia,1,1,0,0
Cameroon vs Ghana,1,0,1,0
Cameroon vs Kenya,3,1,2,0
Cameroon vs Lesotho,1,0,1,0
Cameroon vs Malawi,3,0,3,0
Cameroon vs Mali,1,0,1,0
Cameroon vs Mozambique,3,2,1,0
Cameroon vs Nigeria,2,0,2,0
Cameroon vs Rwanda,1,1,0,0
Cameroon vs Sierra Leone,5,0,5,0
Cameroon vs Tanzania,3,2,1,0
Cameroon vs Uganda,1,1,0,0
Canada vs Cayman Islands,4,4,0,0
Canada vs Germany,1,0,1,0
