venue,win_by_runs,win_by_wickets,matches_played
"Edgbaston, Birmingham",17.5,3.423076923076923,26
"Ekeberg Cricket Ground 1, Oslo",24.333333333333332,2.3333333333333335,3
"Ekeberg Cricket Ground 2, Oslo",0.0,9.0,1
Entebbe Cricket Oval,22.608695652173914,2.782608695652174,23
Europa Sports Complex,26.181818181818183,3.6363636363636362,22
"FB Fields, St Clement",58.0,2.0,5
FTZ Sports Complex (BOI),0.0,8.0,1
"Faleata Oval No 2, Apia",20.0,3.75,12
Feroz Shah Kotla,32.72727272727273,4.2727272727272725,11
Forthill,17.8,2.0,10
"Forthill, Dundee",30.833333333333332,3.0,6
"GB Oval, Szodliget",72.5,3.5,2
"GMHBA Stadium, South Geelong, Victoria",26.166666666666668,1.3333333333333333,6
Gaddafi Stadium,14.38888888888889,2.4444444444444446,18
"Gaddafi Stadium, Lahore",29.541666666666668,2.9166666666666665,24
"Gahanga B Ground, Rwanda",25.823529411764707,2.6470588235294117,17
"Gahanga International Cricket Stadium, Rwanda",31.39344262295082,2.3278688524590163,61
Gahanga International Cricket Stadium. Rwanda,19.974025974025974,3.74025974025974,77
Galle International Stadium,92.19354838709677,3.064516129032258,31
Gelephu International Cricket Ground,22.384615384615383,2.4615384615384617,13
"Goldenacre, Edinburgh",37.25,3.25,8
Grace Road,51.916666666666664,2.5,12
"Grace Road, Leicester",90.0,1.0,3
"Grainville, St Saviour",86.5,0.0,2
"Grainville, St Saviour, Jersey",12.625,5.625,8
"Grand Prairie Stadium, Dallas",10.416666666666666,3.1666666666666665,12
"Grange Cricket Club Ground, Raeburn Place",23.22222222222222,3.2222222222222223,9
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",31.272727272727273,2.772727272727273,22
"Grange Cricket Club, Raeburn Place",55.666666666666664,0.0,3
"Great Barrier Reef Arena, Mackay",14.5,2.5,2
Green Park,52.0,1.75,4
"Green Park, Kanpur",0.0,3.5,2
Greenfield International Stadium,2.0,5.666666666666667,3
"Greenfield International Stadium, Thiruvananthapuram",120.33333333333333,2.6666666666666665,3
"Ground 1, Independence Park",9.5,6.666666666666667,6
"Ground 2, Independence Park",7.75,6.5,4
Gucherre Cricket Ground,38.0,2.6666666666666665,3
"Guernsey Rovers Athletic Club Ground, Port Soif",12.923076923076923,3.923076923076923,13
Guttsta Wicked Cricket Club,0.0,2.0,1
"Gymkhana Club Ground, Dar-es-Salaam",32.0,4.714285714285714,7
"Gymkhana Club Ground, Nairobi",25.424242424242426,3.484848484848485,33
Hagley Oval,65.70833333333333,3.5833333333333335,24
"Hagley Oval, Christchurch",46.375,2.8333333333333335,24
Happy Valley Ground,8.75,3.625,16
Harare Sports Club,30.275590551181104,2.858267716535433,127
Hazelaarweg,14.2,0.8,5
"Hazelaarweg, Rotterdam",22.375,1.625,8
Headingley,48.46153846153846,2.1538461538461537,13
"Headingley, Leeds",31.857142857142858,1.4285714285714286,7
Himachal Pradesh Cricket Association Stadium,6.833333333333333,2.75,12
"Himachal Pradesh Cricket Association Stadium, Dharamsala",34.857142857142854,2.4285714285714284,7
Holkar Cricket Stadium,93.5,2.0,6
"Holkar Cricket Stadium, Indore",59.5,2.25,4
Hong Kong Cricket Club,31.25,4.125,8
"Hurlingham Club Ground, Buenos Aires",26.6,2.066666666666667,15
ICC Academy,25.375,1.90625,32
ICC Academy Ground No 2,22.4,3.6,5
"ICC Academy Ground No 2, Dubai",19.0,3.8,5
"ICC Academy, Dubai",19.307692307692307,2.769230769230769,39
ICC Global Cricket Academy,42.5,4.0,2
"Independence Park, Port Vila",9.8,3.8,10
Indian Association Ground,15.470588235294118,3.588235294117647,17
"Indian Association Ground, Singapore",19.5,2.4,10
Integrated Polytechnic Regional Centre,35.525,3.325,40
International Sports Stadium,59.0,0.0,2
JSCA International Stadium Complex,53.666666666666664,1.5,6
"JSCA International Stadium Complex, Ranchi",5.25,4.75,4
Jinja Cricket Ground,8.5,4.0,2
"John Davies Oval, Queenstown",34.3,1.6,10
Johor Cricket Academy Oval,13.0,2.5,2
Junction Oval,5.1,3.4,10
"Junction Oval, Melbourne",4.2,4.2,5
Kaizuka Cricket Ground,0.75,4.0,4
Karen Rolton Oval,95.0,0.0,1
Kennington Oval,51.476190476190474,2.0952380952380953,21
"Kennington Oval, London",54.45454545454545,4.454545454545454,11
"Kensington Oval, Barbados",50.875,4.5,8
"Kensington Oval, Bridgetown",55.0,1.9090909090909092,11
"Kensington Oval, Bridgetown, Barbados",13.09375,3.21875,32
Kerava National Cricket Ground,24.64516129032258,4.032258064516129,31
Khan Shaheb Osman Ali Stadium,1.6666666666666667,2.0,3
Khettarama Stadium,137.0,0.0,1
King George V Sports Ground,20.0,1.7777777777777777,9
"King George V Sports Ground, Castel",35.15384615384615,3.8461538461538463,13
Kingsmead,36.08695652173913,1.434782608695652,23
"Kingsmead, Durban",70.66666666666667,2.7777777777777777,9
Kinrara Academy Oval,29.641025641025642,2.5641025641025643,39
"Kinrara Academy Oval, Kuala Lumpur",29.625,3.2083333333333335,24
Koge Cricket Club,27.666666666666668,1.6666666666666667,3
Koge Cricket Club 2,68.5,0.0,2
"Kotambi Stadium, Vadodara",108.66666666666667,1.6666666666666667,3
Kyambogo Cricket Oval,20.5,4.333333333333333,6
LC de Villiers Oval,0.0,7.0,1
La Manga Club Bottom Ground,12.866666666666667,6.133333333333334,15
La Manga Club Top Ground,24.454545454545453,3.272727272727273,11
Lalabhai Contractor Stadium,41.75,1.25,4
Las Caballerizas,0.0,0.0,1
Lisicji Jarak Cricket Ground,31.875,4.5,8
Lochlands,13.142857142857142,5.142857142857143,7
Lord's,75.04347826086956,1.2608695652173914,23
"Lord's, London",65.6,1.3333333333333333,15
Los Reyes Polo Club,41.0,0.0,4
Lugogo Cricket Oval,21.333333333333332,0.0,3
M Chinnaswamy Stadium,22.416666666666668,2.8333333333333335,12
"M Chinnaswamy Stadium, Bangalore",0.0,0.0,1
"M Chinnaswamy Stadium, Bengaluru",57.63636363636363,2.4545454545454546,11
M.Chinnaswamy Stadium,5.25,5.75,4
MA Chidambaram Stadium,272.0,0.0,2
"MA Chidambaram Stadium, Chepauk",36.0,1.5555555555555556,9
"MA Chidambaram Stadium, Chepauk, Chennai",31.3,3.7,10
Maharashtra Cricket Association Stadium,66.4,2.0,10
"Maharashtra Cricket Association Stadium, Pune",70.57142857142857,2.142857142857143,7
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",68.57142857142857,3.0,7
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26.666666666666668,4.5,6
Malahide,60.25,2.0,4
"Malahide, Dublin",17.5,0.0,2
"Malek Cricket Ground, Ajman",13.5,4.0,4
Mangaung Oval,61.0,1.5,8
"Mangaung Oval, Bloemfontein",87.2,1.6,5
Mannofield Park,20.5,3.1666666666666665,6
"Mannofield Park, Aberdeen",30.0,1.6,5
Manuka Oval,59.523809523809526,1.8571428571428572,21
"Manuka Oval, Canberra",4.555555555555555,3.111111111111111,9
"Maple Leaf North-West Ground, King City",24.454545454545453,2.5454545454545454,11
"Marina Ground, Corfu",13.0,6.8,5
Marsa Sports Club,14.53448275862069,3.7413793103448274,58
McLean Park,32.0,4.090909090909091,11
"McLean Park, Napier",0.0,2.8,5
"Meersen, Gent",5.4,4.4,5
Melbourne Cricket Ground,55.58974358974359,2.5384615384615383,39
"Mission Road Ground, Mong Kok",31.4,3.2,5
"Mission Road Ground, Mong Kok, Hong Kong",38.55172413793103,2.3793103448275863,29
"Mladost Cricket Ground, Zagreb",60.2,3.6,5
Moara Vlasiei Cricket Ground,28.333333333333332,2.0,3
"Moara Vlasiei Cricket Ground, Ilfov County",15.12,4.08,25
"Moosa Cricket Stadium, Pearland",17.9,2.8,10
Morodok Techo National Stadium,12.25,6.25,4
Mulpani Cricket Ground,14.857142857142858,3.2857142857142856,14
Multan Cricket Stadium,75.5,1.0833333333333333,12
Narendra Modi Stadium,9.857142857142858,4.714285714285714,7
"Narendra Modi Stadium, Ahmedabad",47.53846153846154,2.6153846153846154,13
"Nassau County International Cricket Stadium, New York",2.75,4.0,8
"National Cricket Stadium, Grenada",11.0,1.6666666666666667,3
"National Cricket Stadium, St George's",0.0,8.5,2
"National Cricket Stadium, St George's, Grenada",9.125,3.125,8
"National Sports Academy, Sofia",12.5625,5.0625,16
National Stadium,62.77777777777778,2.2222222222222223,9
"National Stadium, Hamilton",84.2,1.0,5
"National Stadium, Karachi",22.92105263157895,3.0,38
New Wanderers Stadium,37.09090909090909,3.6363636363636362,11
Newlands,47.0,2.7777777777777777,27
"Newlands, Cape Town",21.941176470588236,3.5294117647058822,17
"Nigeria Cricket Federation Oval 1, Abuja",0.0,7.0,4
"Nigeria Cricket Federation Oval 2, Abuja",43.0,3.6,5
Nondescripts Cricket Club Ground,41.833333333333336,3.5,6
North Sydney Oval,34.6,4.2,5
"North Sydney Oval, Sydney",36.875,3.375,8
North-West University No1 Ground,40.0,5.666666666666667,3
Old Hararians,58.083333333333336,2.0833333333333335,12
"Old Hararians, Harare",0.0,3.0,1
Old Trafford,63.25,1.8333333333333333,24
"Old Trafford, Manchester",42.57142857142857,1.8571428571428572,7
P Sara Oval,54.125,3.125,16
"P Sara Oval, Colombo",0.0,5.75,4
Pallekele International Cricket Stadium,26.930232558139537,2.6511627906976742,43
"Pembroke Cricket Club, Sandymount",0.0,6.0,1
"Pembroke Cricket Club, Sandymount, Dublin",3.4,4.6,5
Perth Stadium,87.93333333333334,2.8,15
Pierre Werner Cricket Ground,57.666666666666664,0.0,3
Pokhara Rangasala,62.25,7.5,4
Prairie View Cricket Complex,7.285714285714286,3.5714285714285716,7
Providence Stadium,28.57894736842105,2.3157894736842106,19
"Providence Stadium, Guyana",16.57894736842105,2.8947368421052633,19
Pukekura Park,1.0,0.0,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",29.4,2.5,10
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",74.0,3.0,3
"Punjab Cricket Association Stadium, Mohali",54.0,3.5,2
"Queen's Park Oval, Port of Spain",47.714285714285715,2.0,7
"Queen's Park Oval, Port of Spain, Trinidad",24.4,0.4,5
"Queen's Park Oval, Trinidad",29.5,3.0,2
Queens Sports Club,72.47058823529412,1.411764705882353,17
"Queens Sports Club, Bulawayo",34.285714285714285,2.342857142857143,35
R Premadasa Stadium,28.294117647058822,3.0588235294117645,17
"R Premadasa Stadium, Colombo",26.176470588235293,3.0588235294117645,34
"R.Premadasa Stadium, Khettarama",45.833333333333336,3.0555555555555554,18
"Rajiv Gandhi International Stadium, Uppal",52.0,5.5,4
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50.42857142857143,1.7142857142857142,7
Rangiri Dambulla International Stadium,24.864864864864863,3.864864864864865,37
Rawalpindi Cricket Stadium,10.863636363636363,4.090909090909091,22
"Ray Mitchell Oval, Harrup Park, Mackay",0.0,5.333333333333333,3
"Reforma Athletic Club, Naucalpan",1.4,5.2,5
Reliance Stadium,13.2,4.2,5
Riverside Ground,23.285714285714285,3.857142857142857,7
"Riverside Ground, Chester-le-Street",15.428571428571429,5.285714285714286,7
"Riverway Stadium, Townsville",0.0,3.0,1
Roma Cricket Ground,29.75,2.6666666666666665,12
"Royal Brussels Cricket Club Ground, Waterloo",19.7,3.5,10
Royal Chiangmai Golf Club,29.75,3.375,8
Royal Selangor Club,50.5,3.3333333333333335,6
"Royal Selangor Club, Kuala Lumpur",43.5,2.8333333333333335,6
"Ruaraka Sports Club Ground, Nairobi",103.83333333333333,2.5,6
"Sabina Park, Jamaica",257.0,0.0,1
"Sabina Park, Kingston",73.83333333333333,4.0,6
"Sabina Park, Kingston, Jamaica",31.75,2.0,12
San Albano,296.0,0.0,2
Sano International Cricket Ground,60.05263157894737,2.3157894736842106,19
Santarem Cricket Ground,41.333333333333336,3.3333333333333335,3
Sao Fernando Polo and Cricket Club,3.5,4.0,2
Saurashtra Cricket Association Stadium,61.0,1.3333333333333333,6
"Saurashtra Cricket Association Stadium, Rajkot",139.875,0.75,8
"Sawai Mansingh Stadium, Jaipur",0.0,5.0,1
Saxton Oval,18.357142857142858,3.5,14
"Saxton Oval, Nelson",6.25,1.75,4
"Scott Page Field, Vinor",21.42105263157895,3.473684210526316,19
Seddon Park,25.129032258064516,3.3548387096774195,31
"Seddon Park, Hamilton",66.33333333333333,1.6666666666666667,18
"Sedgars Park, Potchefstroom",111.0,0.0,1
Seebarn Cricket Centre,88.5,2.5,4
"Seebarn Cricket Centre, Lower Austria",82.0,0.0,1
"Selangor Turf Club, Kuala Lumpur",14.142857142857142,4.523809523809524,21
Senwes Park,43.8235294117647,4.294117647058823,17
"Senwes Park, Potchefstroom",0.0,5.833333333333333,6
