venue,win_by_runs,win_by_wickets,matches_played,venue_category
Tafawa Balewa Square (TBS) Cricket Oval,117.0,0.0,1,Batting-Friendly
"Tafawa Balewa Square Cricket Oval, Lagos",39.59090909090909,2.3181818181818183,22,Batting-Friendly
Takashinga Sports Club,43.333333333333336,3.333333333333333,3,Balanced
"Takashinga Sports Club, Highfield, Harare",10.0,2.5,12,Balanced
Terdthai Cricket Ground,26.05555555555556,3.055555555555556,18,Balanced
"Terdthai Cricket Ground, Bangkok",24.90625,4.21875,32,Balanced
The Cooper Associates County Ground,40.285714285714285,1.8571428571428568,7,Batting-Friendly
"The Cooper Associates County Ground, Taunton",13.8,1.8,5,Balanced
The Hills Cricket Club Ground,0.0,7.0,1,Bowling-Friendly
The Rose Bowl,9.727272727272728,3.409090909090909,22,Balanced
"The Rose Bowl, Southampton",49.75,1.0,8,Batting-Friendly
"The Village, Malahide",37.388888888888886,3.2222222222222223,18,Balanced
"The Village, Malahide, Dublin",13.76923076923077,2.1538461538461537,13,Balanced
The Vineyard,306.0,0.0,1,Batting-Friendly
The Wanderers Stadium,70.46666666666667,2.533333333333333,15,Batting-Friendly
"The Wanderers Stadium, Johannesburg",58.25,2.375,16,Batting-Friendly
Tikkurila Cricket Ground,28.227272727272727,1.5909090909090908,22,Balanced
"Titwood, Glasgow",0.0,5.333333333333333,3,Bowling-Friendly
Tolerance Oval,17.22222222222222,3.555555555555556,9,Balanced
"Tolerance Oval, Abu Dhabi",28.2,3.65,20,Balanced
Tony Ireland Stadium,9.0,0.0,2,Balanced
"Tony Ireland Stadium, Townsville",0.0,6.5,2,Bowling-Friendly
Trent Bridge,79.21428571428571,1.7857142857142858,14,Batting-Friendly
"Trent Bridge, Nottingham",47.333333333333336,2.0,9,Batting-Friendly
Tribhuvan University International Cricket Ground,37.0,3.5,10,Balanced
"Tribhuvan University International Cricket Ground, Kirtipur",17.819444444444443,2.875,72,Balanced
Turf City B Cricket Ground,0.0,9.0,1,Bowling-Friendly
"UKM-YSD Cricket Oval, Bangi",19.625,4.1,40,Bowling-Friendly
Udayana Cricket Ground,33.595238095238095,3.8333333333333335,42,Balanced
United Cricket Club Ground,61.888888888888886,2.6666666666666665,9,Batting-Friendly
"United Cricket Club Ground, Windhoek",18.60975609756097,3.1463414634146343,41,Balanced
University Oval,52.083333333333336,2.5,12,Batting-Friendly
"University Oval, Dunedin",20.2,2.5,10,Balanced
University of Dar-es-Salaam Ground,10.714285714285714,6.285714285714286,7,Bowling-Friendly
University of Doha for Science and Technology,34.166666666666664,2.583333333333333,12,Batting-Friendly
University of Lagos Cricket Oval,36.25,2.5,8,Batting-Friendly
VRA Ground,26.571428571428573,3.4285714285714284,14,Balanced
"VRA Ground, Amstelveen",39.3,2.75,20,Batting-Friendly
Vanuatu Cricket Ground,28.8,3.8,10,Balanced
Vanuatu Cricket Ground (Oval 2),10.75,5.375,8,Bowling-Friendly
"Vidarbha Cricket Association Stadium, Jamtha",31.866666666666667,3.066666666666667,15,Balanced
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",44.0,3.333333333333333,3,Balanced
W.A.C.A. Ground,9.142857142857142,3.571428571428572,7,Balanced
Wanderers,0.0,7.0,1,Bowling-Friendly
Wanderers Cricket Ground,145.0,0.0,1,Batting-Friendly
"Wanderers Cricket Ground, Windhoek",24.872340425531917,3.042553191489361,47,Balanced
Wankhede Stadium,29.923076923076923,3.4615384615384617,13,Balanced
"Wankhede Stadium, Mumbai",95.625,1.75,16,Batting-Friendly
"Warner Park, Basseterre",38.6,2.2,5,Batting-Friendly
"Warner Park, Basseterre, St Kitts",15.090909090909092,5.2727272727272725,11,Bowling-Friendly
"Warner Park, St Kitts",34.25,4.25,4,Balanced
"West End Park International Cricket Stadium, Doha",17.622222222222224,3.2,45,Balanced
Western Australia Cricket Association Ground,36.125,3.5,8,Balanced
"Western Australia Cricket Association Ground, Perth",183.5,0.0,2,Batting-Friendly
Westpac Stadium,41.23809523809524,2.2857142857142856,21,Batting-Friendly
"White Hill Field, Sandys Parish",24.916666666666668,3.9166666666666665,12,Balanced
Willowmoore Park,34.333333333333336,4.833333333333333,6,Balanced
"Willowmoore Park, Benoni",29.894736842105264,3.1052631578947367,19,Balanced
"Windsor Park, Roseau",50.5,4.5,2,Balanced
"Windsor Park, Roseau, Dominica",58.66666666666666,0.0,3,Batting-Friendly
"Woodley Cricket Field, Los Angeles",46.583333333333336,1.5833333333333333,12,Batting-Friendly
YMCA Cricket Club,40.5,2.333333333333333,6,Batting-Friendly
"YSD-UKM Cricket Oval, Bangi",35.391304347826086,3.4782608695652173,23,Balanced
Yeonhui Cricket Ground,22.4,0.4,5,Balanced
"Yeonhui Cricket Ground, Incheon",42.22222222222222,1.1666666666666667,18,Batting-Friendly
Zahur Ahmed Chowdhury Stadium,20.416666666666668,3.083333333333333,12,Balanced
"Zahur Ahmed Chowdhury Stadium, Chattogram",54.45,2.65,20,Batting-Friendly
"Zayed Cricket Stadium, Abu Dhabi",28.566666666666663,4.033333333333333,30,Balanced
Zhejiang University of Technology Cricket Field,23.25,3.95,20,Balanced
