venue,win_by_runs,win_by_wickets,matches_played,venue_category
"Darren Sammy National Cricket Stadium, Gros Islet",237.0,0.0,1,Batting-Friendly
"Darren Sammy National Cricket Stadium, St Lucia",21.0,5.25,4,Balanced
Desert Springs Cricket Ground,29.0,4.5,2,Balanced
"Desert Springs Cricket Ground, Almeria",21.204545454545453,3.2954545454545454,44,Balanced
Diamond Oval,55.333333333333336,4.666666666666667,6,Balanced
"Diamond Oval, Kimberley",11.8,4.2,5,Bowling-Friendly
"Dr DY Patil Sports Academy, Mumbai",57.833333333333336,5.166666666666667,6,Balanced
"Dr DY Patil Sports Academy, Navi Mumbai",36.333333333333336,3.0,3,Balanced
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,93.25,2.5,8,Batting-Friendly
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",38.5,3.0,4,Balanced
Dreux Sport Cricket Club,18.0,2.0,7,Balanced
Dubai International Cricket Stadium,26.141666666666666,3.091666666666667,120,Balanced
Eden Gardens,37.18181818181818,2.090909090909091,11,Batting-Friendly
"Eden Gardens, Kolkata",47.36363636363637,2.4545454545454546,11,Batting-Friendly
Eden Park,19.48148148148148,2.5185185185185186,27,Balanced
Eden Park No 2,0.0,5.0,1,Bowling-Friendly
Eden Park Outer Oval,0.0,7.5,2,Bowling-Friendly
"Eden Park, Auckland",53.66666666666666,1.5555555555555556,9,Batting-Friendly
Edgbaston,61.77777777777778,2.5,18,Batting-Friendly
"Edgbaston, Birmingham",17.5,3.423076923076923,26,Balanced
"Ekeberg Cricket Ground 1, Oslo",24.33333333333333,2.333333333333333,3,Balanced
"Ekeberg Cricket Ground 2, Oslo",0.0,9.0,1,Bowling-Friendly
Entebbe Cricket Oval,22.608695652173918,2.782608695652174,23,Balanced
Europa Sports Complex,26.181818181818183,3.636363636363636,22,Balanced
"FB Fields, St Clement",58.0,2.0,5,Batting-Friendly
FTZ Sports Complex (BOI),0.0,8.0,1,Bowling-Friendly
"Faleata Oval No 2, Apia",20.0,3.75,12,Balanced
Feroz Shah Kotla,32.72727272727273,4.2727272727272725,11,Balanced
Forthill,17.8,2.0,10,Balanced
"Forthill, Dundee",30.83333333333333,3.0,6,Balanced
"GB Oval, Szodliget",72.5,3.5,2,Balanced
"GMHBA Stadium, South Geelong, Victoria",26.166666666666668,1.3333333333333333,6,Balanced
Gaddafi Stadium,14.38888888888889,2.4444444444444446,18,Balanced
"Gaddafi Stadium, Lahore",29.541666666666668,2.9166666666666665,24,Balanced
"Gahanga B Ground, Rwanda",25.823529411764707,2.647058823529412,17,Balanced
"Gahanga International Cricket Stadium, Rwanda",31.39344262295082,2.3278688524590163,61,Batting-Friendly
Gahanga International Cricket Stadium. Rwanda,19.97402597402597,3.74025974025974,77,Balanced
Galle International Stadium,92.19354838709675,3.064516129032258,31,Balanced
Gelephu International Cricket Ground,22.384615384615383,2.4615384615384617,13,Balanced
"Goldenacre, Edinburgh",37.25,3.25,8,Balanced
Grace Road,51.91666666666666,2.5,12,Batting-Friendly
"Grace Road, Leicester",90.0,1.0,3,Batting-Friendly
"Grainville, St Saviour",86.5,0.0,2,Batting-Friendly
"Grainville, St Saviour, Jersey",12.625,5.625,8,Bowling-Friendly
"Grand Prairie Stadium, Dallas",10.416666666666666,3.1666666666666665,12,Balanced
"Grange Cricket Club Ground, Raeburn Place",23.22222222222222,3.2222222222222223,9,Balanced
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",31.272727272727277,2.772727272727273,22,Batting-Friendly
"Grange Cricket Club, Raeburn Place",55.66666666666666,0.0,3,Batting-Friendly
"Great Barrier Reef Arena, Mackay",14.5,2.5,2,Balanced
Green Park,52.0,1.75,4,Batting-Friendly
"Green Park, Kanpur",0.0,3.5,2,Balanced
